experiment_id,initialization_timestamp,artifact_time_stamp,running_status,start_time,stop_time,execution_time,message,experiment_file_path,accuracy,is_model_accepted,created_time_stamp
41b0cb33-870d-4bbe-8c53-69ab276f9e45,2022-09-16-11-51-09,2022-09-16-11-51-09,True,2022-09-16 11:51:10.543464,,,Pipeline has been started.,experiment.csv,,,2022-09-16 11:51:10.544467
b3fcb41b-f248-4a1d-ae3c-b8bbb2ad771d,2022-09-16-11-52-04,2022-09-16-11-52-04,True,2022-09-16 11:52:05.560214,,,Pipeline has been started.,experiment.csv,,,2022-09-16 11:52:05.560563
b3fcb41b-f248-4a1d-ae3c-b8bbb2ad771d,2022-09-16-11-52-04,2022-09-16-11-52-04,False,2022-09-16 11:52:05.560214,2022-09-16 11:53:28.894285,0 days 00:01:23.334071,Pipeline has been completed.,experiment.csv,0.8947147786134607,True,2022-09-16 11:53:28.894285
cdf8941b-3d32-432e-9c80-2dd07404499a,2022-09-16-12-09-10,2022-09-16-12-09-10,True,2022-09-16 12:09:12.073320,,,Pipeline has been started.,experiment.csv,,,2022-09-16 12:09:12.073320
cdf8941b-3d32-432e-9c80-2dd07404499a,2022-09-16-12-09-10,2022-09-16-12-09-10,False,2022-09-16 12:09:12.073320,2022-09-16 12:10:36.683469,0 days 00:01:24.610149,Pipeline has been completed.,experiment.csv,0.8947147786134607,True,2022-09-16 12:10:36.683469
95c276a2-2874-4a48-a9b8-6edc25bd7ff4,2022-09-16-15-30-15,2022-09-16-15-30-15,True,2022-09-16 15:30:23.441486,,,Pipeline has been started.,experiment.csv,,,2022-09-16 15:30:23.442519
95c276a2-2874-4a48-a9b8-6edc25bd7ff4,2022-09-16-15-30-15,2022-09-16-15-30-15,False,2022-09-16 15:30:23.441486,2022-09-16 15:31:53.306957,0 days 00:01:29.865471,Pipeline has been completed.,experiment.csv,0.8947147786134607,True,2022-09-16 15:31:53.306957
ab61f31e-bc15-4390-9db2-cdb2fa63255a,2022-09-16-15-30-15,2022-09-16-15-30-15,True,2022-09-16 15:32:40.750384,,,Pipeline has been started.,experiment.csv,,,2022-09-16 15:32:40.750384
ab61f31e-bc15-4390-9db2-cdb2fa63255a,2022-09-16-15-30-15,2022-09-16-15-30-15,False,2022-09-16 15:32:40.750384,2022-09-16 15:34:09.970681,0 days 00:01:29.220297,Pipeline has been completed.,experiment.csv,0.8947147786134607,True,2022-09-16 15:34:09.970681
0a4cadbb-3053-4549-bfd0-03581ab1729e,2022-09-16-15-34-15,2022-09-16-15-34-15,True,2022-09-16 15:34:46.635761,,,Pipeline has been started.,experiment.csv,,,2022-09-16 15:34:46.641936
0a4cadbb-3053-4549-bfd0-03581ab1729e,2022-09-16-15-34-15,2022-09-16-15-34-15,False,2022-09-16 15:34:46.635761,2022-09-16 15:36:14.280492,0 days 00:01:27.644731,Pipeline has been completed.,experiment.csv,0.8947147786134607,True,2022-09-16 15:36:14.281493
f0109f0c-a18b-4c39-a9c3-14e465c9bede,2022-09-16-15-56-09,2022-09-16-15-56-09,True,2022-09-16 15:56:37.505859,,,Pipeline has been started.,experiment.csv,,,2022-09-16 15:56:37.512872
f0109f0c-a18b-4c39-a9c3-14e465c9bede,2022-09-16-15-56-09,2022-09-16-15-56-09,False,2022-09-16 15:56:37.505859,2022-09-16 15:58:11.428522,0 days 00:01:33.922663,Pipeline has been completed.,experiment.csv,0.8947147786134607,True,2022-09-16 15:58:11.428522
